"17067785322496000;""Mon Dec 20 21:04:11 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""i like the word \""hella\"""";NULL",,,,
"17067410381078528;""Mon Dec 20 21:02:42 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""my internet acting retarted"";NULL",,,,
"17067367129423872;""Mon Dec 20 21:02:32 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""what the hook gonnn be"";NULL",,,,
"17066407460077568;""Mon Dec 20 20:58:43 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""jamie foxx cd is gonn be nice"";NULL",,,,
"17065644293885952;""Mon Dec 20 20:55:41 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""eminem be spazzin"";NULL",,,,
"17064545222660096;""Mon Dec 20 20:51:19 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""You can still get roasted because Marsh is not mellow #MarshallMathers"";NULL",,,,
"17062376155127808;""Mon Dec 20 20:42:42 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""i dont use this language but fuck that bitch"";NULL",,,,
"17061677455376384;""Mon Dec 20 20:39:55 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""i dont need you no more"";NULL",,,,
"16807309514645505;""Mon Dec 20 03:49:09 MST 2010"";""stalk_jack"";""Los Angeles"";""<a href=\""http://mobile.twitter.com\"" rel=\""nofollow\"">Mobile Web</a>"";""What you gonn do @bxgotxswagg"";NULL",,,,
"16803269401645056;""Mon Dec 20 03:33:06 MST 2010"";""stalk_jack"";""Los Angeles"";""<a href=\""http://mobile.twitter.com\"" rel=\""nofollow\"">Mobile Web</a>"";""#dearfuturewife its a must that you could ride big willy"";NULL",,,,
"16803083241660416;""Mon Dec 20 03:32:21 MST 2010"";""stalk_jack"";""Los Angeles"";""<a href=\""http://mobile.twitter.com\"" rel=\""nofollow\"">Mobile Web</a>"";""#dearfuturewife you gotta be able to suck a needle out of a hay stack"";NULL",,,,
"15894841737093120;""Fri Dec 17 15:23:20 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""officially done wit first semester"";NULL",,,,
"15622822722281472;""Thu Dec 16 21:22:25 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""finishin this paper"";NULL",,,,
"15615550851911680;""Thu Dec 16 20:53:32 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""my chargers is going in"";NULL",,,,
"15606701478649857;""Thu Dec 16 20:18:22 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""should be done wit my outline by 10"";NULL",,,,
"15606027487543297;""Thu Dec 16 20:15:41 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""might be pullin an all nighter"";NULL",,,,
"15486292930338817;""Thu Dec 16 12:19:54 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""i am having a really good day now"";NULL",,,,
"15150369935990784;""Wed Dec 15 14:05:04 MST 2010"";""stalk_jack"";""Los Angeles"";""web"";""where my bros at?"";NULL",,,,
"17067810073088000;""Mon Dec 20 21:04:17 MST 2010"";""iin1801"";""jakarta"";""<a href=\""http://www.snaptu.com\"" rel=\""nofollow\"">Snaptu.com</a>"";""Luh krg darah? RT @teoteotbumbum: Kurang darah kayak gini toh rasanya +_+"";NULL",,,,
"17067504782286848;""Mon Dec 20 21:03:04 MST 2010"";""iin1801"";""jakarta"";""<a href=\""http://www.snaptu.com\"" rel=\""nofollow\"">Snaptu.com</a>"";""Aduh"";NULL",,,,
"17067395113816064;""Mon Dec 20 21:02:38 MST 2010"";""iin1801"";""jakarta"";""<a href=\""http://www.snaptu.com\"" rel=\""nofollow\"">Snaptu.com</a>"";""RT @dianahamida: @Iin1801 lee joon -_- aku gatau marganya jaehee in"";NULL",,,,
"17060221687959552;""Mon Dec 20 20:34:08 MST 2010"";""iin1801"";""jakarta"";""<a href=\""http://www.snaptu.com\"" rel=\""nofollow\"">Snaptu.com</a>"";""Haha",," ayo\"" siapa lg? RT @dianahamida: @Iin1801 oiya ya", ada jungsu," junsu juga bisa in"";NULL"
"17058844064612352;""Mon Dec 20 20:28:40 MST 2010"";""iin1801"";""jakarta"";""<a href=\""http://www.snaptu.com\"" rel=\""nofollow\"">Snaptu.com</a>"";""Oh! ic ic",," hahaha RT @dianahamida: @Iin1801 kalo hurup j nya dihilangin jadi blablablabla hahahahaha"";NULL",,
